Node1	Node2	Edge	support	conflict	snp_count	hg	path
2015	2016	1	0	0	0		1
2016	2017	2	39	0	2	A1;A00;C1a2	1
2017	2018	3	6	0	3	A1b	1
2018	2019	4	0	37	4	R1a1;BT	1
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	1
2020	2021	6	0	2	6	CF	1
2021	2022	7	1	16	7	F	1
2022	2023	8	0	1	8	F;GHIJK	1
2023	2024	9	0	0	9	HIJK	1
2024	2025	10	0	0	10	IJK	1
2025	2026	11	0	3	11	K~;K	1
2026	2027	12	0	0	12	K2	1
2027	2028	13	0	0	13	K2b	1
2028	2029	14	0	0	14	PorK2b2	1
2029	2030	15	0	7	15	P1orK2b2a;P1~orK2b2a~;I2a2a1a1a2	1
2030	2031	16	0	7	16	P1~orK2b2a~;P1orK2b2a	1
2031	2032	17	0	7	17	R	1
2032	2033	18	0	2	18	R1	1
2033	2034	19	0	20	19	R1a1a~;R1a1~;R1a1;R1a~;R1a1a1~;R1a1a1;R1a1a;R1a	1
2034	2035	20	0	2	20	R1a1a1b;R1a1a1b~	1
2035	2036	21	0	1	21	R1a1a1b2;R1a1a1b2~	1
2036	2037	22	0	0	0		1
2037	2038	23	0	0	0		1
2038	2039	24	0	0	0		1
2039	2040	25	0	0	25	R1a1a1b2a2a~	1
2040	2041	26	0	0	0		1
2041	2042	27	0	7	27	R1a1a1b2a2a3b1a~;R1a1a1b2a2a3~;R1a1a1b2a2a3b~;R1a1a1b2a2a3b1~;R1a1a1b2a2a3b1a1~	1
2042	2043	28	0	2	28		1
2043	1	29	0	1	29		1
2015	2016	1	0	0	0		2
2016	2017	2	39	0	2	A1;A00;C1a2	2
2017	2018	3	6	0	3	A1b	2
2018	2019	4	0	37	4	R1a1;BT	2
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	2
2020	2021	6	0	2	6	CF	2
2021	2022	7	1	16	7	F	2
2022	2023	8	0	1	8	F;GHIJK	2
2023	2024	9	0	0	9	HIJK	2
2024	2025	10	0	0	10	IJK	2
2025	2026	11	0	3	11	K~;K	2
2026	2027	12	0	0	12	K2	2
2027	2028	13	0	0	13	K2b	2
2028	2029	14	0	0	14	PorK2b2	2
2029	2030	15	0	7	15	P1orK2b2a;P1~orK2b2a~;I2a2a1a1a2	2
2030	2031	16	0	7	16	P1~orK2b2a~;P1orK2b2a	2
2031	2032	17	0	7	17	R	2
2032	2033	18	0	2	18	R1	2
2033	2034	19	0	20	19	R1a1a~;R1a1~;R1a1;R1a~;R1a1a1~;R1a1a1;R1a1a;R1a	2
2034	2035	20	0	2	20	R1a1a1b;R1a1a1b~	2
2035	2036	21	0	1	21	R1a1a1b2;R1a1a1b2~	2
2036	2037	22	0	0	0		2
2037	2038	23	0	0	0		2
2038	2039	24	0	0	0		2
2039	2040	25	0	0	25	R1a1a1b2a2a~	2
2040	2041	26	0	0	0		2
2041	2042	27	0	7	27	R1a1a1b2a2a3b1a~;R1a1a1b2a2a3~;R1a1a1b2a2a3b~;R1a1a1b2a2a3b1~;R1a1a1b2a2a3b1a1~	2
2042	2043	28	0	2	28		2
2043	2	30	0	2	30		2
2015	2016	1	0	0	0		3
2016	2017	2	39	0	2	A1;A00;C1a2	3
2017	2018	3	6	0	3	A1b	3
2018	2019	4	0	37	4	R1a1;BT	3
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	3
2020	2021	6	0	2	6	CF	3
2021	2022	7	1	16	7	F	3
2022	2023	8	0	1	8	F;GHIJK	3
2023	2024	9	0	0	9	HIJK	3
2024	2025	10	0	0	10	IJK	3
2025	2026	11	0	3	11	K~;K	3
2026	2027	12	0	0	12	K2	3
2027	2028	13	0	0	13	K2b	3
2028	2029	14	0	0	14	PorK2b2	3
2029	2030	15	0	7	15	P1orK2b2a;P1~orK2b2a~;I2a2a1a1a2	3
2030	2031	16	0	7	16	P1~orK2b2a~;P1orK2b2a	3
2031	2032	17	0	7	17	R	3
2032	2033	18	0	2	18	R1	3
2033	2034	19	0	20	19	R1a1a~;R1a1~;R1a1;R1a~;R1a1a1~;R1a1a1;R1a1a;R1a	3
2034	2035	20	0	2	20	R1a1a1b;R1a1a1b~	3
2035	2036	21	0	1	21	R1a1a1b2;R1a1a1b2~	3
2036	2037	22	0	0	0		3
2037	2038	23	0	0	0		3
2038	2039	24	0	0	0		3
2039	2040	25	0	0	25	R1a1a1b2a2a~	3
2040	2041	26	0	0	0		3
